,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
224,OVV,98,42.92,36.75,34.45,21.07,55.45,Energy Minerals,Oil & Gas Production,4.91
137,HCC,98,32.42,26.72,24.46,15.07,42.95,Energy Minerals,Coal,0.03
264,SM,98,36.11,31.07,28.44,14.79,43.69,Energy Minerals,Oil & Gas Production,6.71
299,VAL,98,43.17,37.16,34.7,20.25,53.69,Industrial Services,Contract Drilling,4.23
106,ENLC,98,8.58,7.39,6.95,4.15,10.28,Industrial Services,Oil & Gas Pipelines,3.44
88,CRC,97,42.56,41.7,38.57,21.79,49.99,Energy Minerals,Oil & Gas Production,7.54
79,CNQ,97,54.57,43.97,41.18,28.86,64.1,Energy Minerals,Oil & Gas Production,1.13
275,TECK,97,36.22,29.87,27.9,18.42,42.38,Non-Energy Minerals,Other Metals/Minerals,-0.64
93,CVE,97,15.3,12.54,11.58,7.16,16.84,Energy Minerals,Integrated Oil,4.6
131,GOGL,97,10.43,9.03,8.83,6.62,13.09,Transportation,Marine Shipping,1.58
65,CHK,97,72.03,64.59,61.43,41.29,90.58,Energy Minerals,Integrated Oil,2.67
130,GLNG,97,16.4,13.76,13.34,9.26,24.86,Transportation,Marine Shipping,8.9
128,GDEN,97,51.12,49.61,48.58,24.82,59.38,Consumer Services,Casinos/Gaming,-2.91
57,CDEV,97,8.01,6.97,6.68,3.69,9.3,Energy Minerals,Integrated Oil,5.1
185,MGY,97,21.94,19.76,18.42,10.29,25.46,Energy Minerals,Oil & Gas Production,4.26
253,RYI,97,26.65,25.19,22.96,13.39,39.58,Non-Energy Minerals,Steel,-0.52
24,APA,97,35.21,28.26,26.05,15.55,42.09,Energy Minerals,Integrated Oil,1.84
305,VNOM,97,27.91,23.82,22.39,14.24,31.59,Energy Minerals,Integrated Oil,4.93
233,PDCE,97,62.16,53.57,50.72,32.17,78.13,Energy Minerals,Oil & Gas Production,5.55
244,RES,97,8.15,5.87,5.56,3.33,11.79,Industrial Services,Oilfield Services/Equipment,12.66
239,PTEN,97,12.88,9.98,9.68,6.07,17.09,Industrial Services,Contract Drilling,3.4
225,OXY,97,45.0,35.08,33.25,21.62,63.24,Energy Minerals,Oil & Gas Production,1.66
281,TMST,97,17.29,15.39,15.05,10.28,24.1,Non-Energy Minerals,Steel,-0.08
133,GSL,96,26.44,23.79,22.32,12.52,30.02,Transportation,Marine Shipping,-0.88
84,COP,96,93.07,76.87,71.83,47.85,107.52,Energy Minerals,Oil & Gas Production,2.83
5,ACLS,96,67.08,60.53,55.3,33.36,83.74,Electronic Technology,Electronic Production Equipment,-4.87
20,ANDE,96,41.79,36.47,34.46,25.2,55.38,Process Industries,Agricultural Commodities/Milling,6.62
132,GOGO,96,14.44,14.34,13.58,9.18,19.49,Communications,Wireless Telecommunications,1.43
