,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change,returnsMultiple
213,PTEN,99,14.68,10.82,10.11,6.07,18.43,Industrial Services,Contract Drilling,1.75,2.54
210,PDS,99,63.72,47.45,44.05,24.5,85.29,Industrial Services,Contract Drilling,-1.69,2.78
221,ROCC,99,34.41,30.67,27.71,11.81,42.66,Energy Minerals,Oil & Gas Production,-0.81,2.96
105,FLNG,99,24.13,21.12,19.15,10.55,32.77,Energy Minerals,Oil & Gas Production,-0.47,2.8
67,CRK,99,10.53,9.48,8.64,4.67,18.55,Energy Minerals,Oil & Gas Production,8.21,3.47
84,DVN,99,57.71,47.09,41.98,20.14,64.29,Energy Minerals,Oil & Gas Production,1.57,2.84
92,EQT,98,28.75,23.52,22.39,15.71,45.5,Energy Minerals,Oil & Gas Production,7.41,2.48
155,LPI,98,75.9,72.81,68.68,32.52,99.26,Energy Minerals,Oil & Gas Production,0.25,2.22
253,TRGP,98,69.13,58.48,54.58,31.37,79.68,Energy Minerals,Oil Refining/Marketing,0.2,2.3
238,SM,98,38.03,33.22,29.71,14.79,43.69,Energy Minerals,Oil & Gas Production,-1.23,2.28
46,CF,98,91.55,72.08,65.64,43.19,113.49,Process Industries,Chemicals: Agricultural,1.49,2.27
54,CLR,98,59.07,51.41,47.5,24.68,66.86,Energy Minerals,Oil & Gas Production,0.21,2.38
115,GLNG,98,19.65,15.1,14.19,10.01,26.6,Transportation,Marine Shipping,-0.92,2.28
72,CVE,98,16.03,13.43,12.15,7.16,18.32,Energy Minerals,Integrated Oil,3.72,2.2
0,AA,98,81.69,61.97,56.58,31.0,98.09,Non-Energy Minerals,Aluminum,1.91,2.36
88,ENLC,98,9.18,7.82,7.23,4.15,10.47,Industrial Services,Oil & Gas Pipelines,-2.51,2.32
165,MGY,98,22.98,20.71,19.14,10.29,26.83,Energy Minerals,Oil & Gas Production,0.5,2.29
170,MOS,98,59.04,45.18,41.68,28.26,79.28,Process Industries,Chemicals: Agricultural,2.76,2.28
202,OXY,98,51.41,38.31,35.28,21.62,63.24,Energy Minerals,Oil & Gas Production,3.42,2.38
201,OVV,98,47.14,39.35,36.11,21.07,56.31,Energy Minerals,Oil & Gas Production,2.05,2.24
219,RES,98,9.75,6.61,5.99,3.33,12.91,Industrial Services,Oilfield Services/Equipment,0.48,2.35
281,WLL,98,77.79,69.83,64.23,33.13,90.89,Energy Minerals,Oil & Gas Production,1.7,2.2
176,MTDR,98,50.89,43.89,40.38,21.8,59.01,Energy Minerals,Oil & Gas Production,2.6,2.29
175,MRO,98,23.57,18.66,16.93,9.7,27.36,Energy Minerals,Oil & Gas Production,1.01,2.43
19,APA,98,37.96,30.58,27.57,15.55,44.99,Energy Minerals,Integrated Oil,0.69,2.33
279,WHD,97,53.13,44.84,42.6,27.26,64.18,Industrial Services,Oilfield Services/Equipment,2.29,2.04
135,IMO,97,45.73,38.31,35.36,23.94,51.76,Energy Minerals,Integrated Oil,1.61,1.99
122,HCC,97,35.49,28.14,25.99,15.07,42.95,Energy Minerals,Coal,-1.92,2.05
191,NUE,97,137.01,117.31,114.66,75.6,172.07,Non-Energy Minerals,Steel,3.03,2.06
13,AMPH,97,32.54,24.97,23.68,17.01,44.46,Health Technology,Pharmaceuticals: Major,-7.49,2.11
116,GOGO,97,16.81,15.08,14.26,9.61,23.69,Communications,Wireless Telecommunications,-2.1,2.07
195,OAS,97,142.1,127.13,117.94,69.73,158.48,Energy Minerals,Oil & Gas Production,1.88,2.1
187,NOG,97,26.06,23.27,21.66,11.9,30.44,Energy Minerals,Oil & Gas Production,0.31,2.15
62,COP,97,96.89,81.21,74.73,47.85,107.52,Energy Minerals,Oil & Gas Production,2.07,1.99
59,CNQ,97,58.47,47.27,43.51,28.86,67.75,Energy Minerals,Oil & Gas Production,2.14,2.17
133,ICL,97,11.17,9.47,8.73,6.16,12.96,Process Industries,Chemicals: Agricultural,-0.39,2.07
180,NBR,97,145.25,113.95,107.05,65.58,207.67,Industrial Services,Contract Drilling,2.47,2.12
207,PBF,97,21.63,16.64,14.97,7.24,29.82,Energy Minerals,Oil Refining/Marketing,9.08,2.1
265,VAL,97,46.69,39.49,36.52,20.25,55.71,Industrial Services,Contract Drilling,-0.22,2.15
52,CIVI,97,55.55,52.51,48.91,29.62,66.42,Energy Minerals,Integrated Oil,0.45,2.0
209,PDCE,97,67.27,56.9,52.81,32.17,79.39,Energy Minerals,Oil & Gas Production,0.01,2.09
49,CHK,97,79.25,68.09,64.34,44.31,97.61,Energy Minerals,Integrated Oil,0.59,2.04
190,NTR,97,93.15,76.9,72.52,52.28,117.25,Process Industries,Chemicals: Agricultural,2.23,2.06
41,CCJ,96,25.82,24.09,22.59,15.34,32.49,Non-Energy Minerals,Other Metals/Minerals,-2.55,1.79
